distribution;sample_credible_set
Height (LogNormal), Ratios (TreeDirichletDist);0.9999
Height (LogNormal), Ratios (TreeDirichletDist);1.0
Height (LogNormal), Ratios (TreeDirichletDist);0.25349999999999995
Height (LogNormal), Ratios (TreeDirichletDist);0.987
Height (LogNormal), Ratios (TreeDirichletDist);0.747
Height (LogNormal), Ratios (TreeDirichletDist);0.496
Height (LogNormal), Ratios (TreeDirichletDist);0.5534
Height (LogNormal), Ratios (TreeDirichletDist);0.16920000000000002
Height (LogNormal), Ratios (TreeDirichletDist);0.09230000000000005
Height (LogNormal), Ratios (TreeDirichletDist);0.6931
Height (LogNormal), Ratios (TreeDirichletDist);0.19140000000000001
Height (LogNormal), Ratios (TreeDirichletDist);0.15539999999999998
Height (LogNormal), Ratios (TreeDirichletDist);0.09640000000000004
Height (LogNormal), Ratios (TreeDirichletDist);0.1773
Height (LogNormal), Ratios (TreeDirichletDist);0.8221
Height (LogNormal), Ratios (TreeDirichletDist);1.0
Height (LogNormal), Ratios (TreeDirichletDist);0.6759
Height (LogNormal), Ratios (TreeDirichletDist);0.19010000000000005
Height (LogNormal), Ratios (TreeDirichletDist);0.09330000000000005
Height (LogNormal), Ratios (TreeDirichletDist);0.7797000000000001
Height (LogNormal), Ratios (TreeDirichletDist);0.8052
Height (LogNormal), Ratios (TreeDirichletDist);1.0
Height (LogNormal), Ratios (TreeDirichletDist);0.26339999999999997
Height (LogNormal), Ratios (TreeDirichletDist);0.9996
Height (LogNormal), Ratios (TreeDirichletDist);0.10899999999999999
Height (LogNormal), Ratios (TreeDirichletDist);0.2298
Height (LogNormal), Ratios (TreeDirichletDist);0.9955
Height (LogNormal), Ratios (TreeDirichletDist);0.5226999999999999
Height (LogNormal), Ratios (TreeDirichletDist);0.4799
Height (LogNormal), Ratios (TreeDirichletDist);0.33599999999999997
Height (LogNormal), Ratios (TreeDirichletDist);0.274
Height (LogNormal), Ratios (TreeDirichletDist);0.5921000000000001
Height (LogNormal), Ratios (TreeDirichletDist);0.9342
Height (LogNormal), Ratios (TreeDirichletDist);0.15049999999999997
Height (LogNormal), Ratios (TreeDirichletDist);0.6107
Height (LogNormal), Ratios (TreeDirichletDist);0.29710000000000003
Height (LogNormal), Ratios (TreeDirichletDist);0.2148
Height (LogNormal), Ratios (TreeDirichletDist);1.0
Height (LogNormal), Ratios (TreeDirichletDist);0.22750000000000004
Height (LogNormal), Ratios (TreeDirichletDist);0.6591
Height (LogNormal), Ratios (TreeDirichletDist);0.06830000000000003
Height (LogNormal), Ratios (TreeDirichletDist);0.12660000000000005
Height (LogNormal), Ratios (TreeDirichletDist);0.5566
Height (LogNormal), Ratios (TreeDirichletDist);0.29169999999999996
Height (LogNormal), Ratios (TreeDirichletDist);0.9978
Height (LogNormal), Ratios (TreeDirichletDist);0.5996
Height (LogNormal), Ratios (TreeDirichletDist);0.4557
Height (LogNormal), Ratios (TreeDirichletDist);0.6037
Height (LogNormal), Ratios (TreeDirichletDist);0.4736
Height (LogNormal), Ratios (TreeDirichletDist);0.5789
Height (LogNormal), Ratios (TreeDirichletDist);0.9158
Height (LogNormal), Ratios (TreeDirichletDist);0.9996
Height (LogNormal), Ratios (TreeDirichletDist);0.5264
Height (LogNormal), Ratios (TreeDirichletDist);0.1986
Height (LogNormal), Ratios (TreeDirichletDist);0.8445
Height (LogNormal), Ratios (TreeDirichletDist);0.22809999999999997
Height (LogNormal), Ratios (TreeDirichletDist);0.5687
Height (LogNormal), Ratios (TreeDirichletDist);0.08179999999999998
Height (LogNormal), Ratios (TreeDirichletDist);0.03480000000000005
Height (LogNormal), Ratios (TreeDirichletDist);0.5831
Height (LogNormal), Ratios (TreeDirichletDist);0.256
Height (LogNormal), Ratios (TreeDirichletDist);0.30000000000000004
Height (LogNormal), Ratios (TreeDirichletDist);0.34719999999999995
Height (LogNormal), Ratios (TreeDirichletDist);0.4242
Height (LogNormal), Ratios (TreeDirichletDist);0.02100000000000002
Height (LogNormal), Ratios (TreeDirichletDist);0.24009999999999998
Height (LogNormal), Ratios (TreeDirichletDist);0.15880000000000005
Height (LogNormal), Ratios (TreeDirichletDist);0.15839999999999999
Height (LogNormal), Ratios (TreeDirichletDist);0.4756
Height (LogNormal), Ratios (TreeDirichletDist);0.2802
Height (LogNormal), Ratios (TreeDirichletDist);0.17969999999999997
Height (LogNormal), Ratios (TreeDirichletDist);0.9998
Height (LogNormal), Ratios (TreeDirichletDist);0.7479
Height (LogNormal), Ratios (TreeDirichletDist);0.15539999999999998
Height (LogNormal), Ratios (TreeDirichletDist);1.0
Height (LogNormal), Ratios (TreeDirichletDist);0.8103
Height (LogNormal), Ratios (TreeDirichletDist);0.8204
Height (LogNormal), Ratios (TreeDirichletDist);0.23640000000000005
Height (LogNormal), Ratios (TreeDirichletDist);0.28559999999999997
Height (LogNormal), Ratios (TreeDirichletDist);1.0
Height (LogNormal), Ratios (TreeDirichletDist);0.848
Height (LogNormal), Ratios (TreeDirichletDist);0.4468
Height (LogNormal), Ratios (TreeDirichletDist);0.06110000000000004
Height (LogNormal), Ratios (TreeDirichletDist);0.613
Height (LogNormal), Ratios (TreeDirichletDist);0.7396
Height (LogNormal), Ratios (TreeDirichletDist);0.19499999999999995
Height (LogNormal), Ratios (TreeDirichletDist);0.774
Height (LogNormal), Ratios (TreeDirichletDist);0.32989999999999997
Height (LogNormal), Ratios (TreeDirichletDist);0.48719999999999997
