distribution;sample_credible_set
Height (LogNormal), Ratios (LogitNormal);0.6819
Height (LogNormal), Ratios (LogitNormal);0.9825
Height (LogNormal), Ratios (LogitNormal);0.6169
Height (LogNormal), Ratios (LogitNormal);0.8168
Height (LogNormal), Ratios (LogitNormal);0.7168
Height (LogNormal), Ratios (LogitNormal);0.5547
Height (LogNormal), Ratios (LogitNormal);0.09030000000000005
Height (LogNormal), Ratios (LogitNormal);0.19679999999999997
Height (LogNormal), Ratios (LogitNormal);0.5932999999999999
Height (LogNormal), Ratios (LogitNormal);0.6763
Height (LogNormal), Ratios (LogitNormal);0.6456999999999999
Height (LogNormal), Ratios (LogitNormal);0.29410000000000003
Height (LogNormal), Ratios (LogitNormal);0.5570999999999999
Height (LogNormal), Ratios (LogitNormal);0.03169999999999995
Height (LogNormal), Ratios (LogitNormal);0.7041999999999999
Height (LogNormal), Ratios (LogitNormal);0.9884
Height (LogNormal), Ratios (LogitNormal);0.5303
Height (LogNormal), Ratios (LogitNormal);0.6004
Height (LogNormal), Ratios (LogitNormal);0.8786
Height (LogNormal), Ratios (LogitNormal);0.13029999999999997
Height (LogNormal), Ratios (LogitNormal);0.20720000000000005
Height (LogNormal), Ratios (LogitNormal);0.9789
Height (LogNormal), Ratios (LogitNormal);0.29890000000000005
Height (LogNormal), Ratios (LogitNormal);0.8568
Height (LogNormal), Ratios (LogitNormal);0.18330000000000002
Height (LogNormal), Ratios (LogitNormal);0.16579999999999995
Height (LogNormal), Ratios (LogitNormal);0.8564
Height (LogNormal), Ratios (LogitNormal);0.9125
Height (LogNormal), Ratios (LogitNormal);0.9538
Height (LogNormal), Ratios (LogitNormal);0.6956
Height (LogNormal), Ratios (LogitNormal);0.5769
Height (LogNormal), Ratios (LogitNormal);0.29359999999999997
Height (LogNormal), Ratios (LogitNormal);0.7835
Height (LogNormal), Ratios (LogitNormal);0.5223
Height (LogNormal), Ratios (LogitNormal);0.5715
Height (LogNormal), Ratios (LogitNormal);0.756
Height (LogNormal), Ratios (LogitNormal);0.7334
Height (LogNormal), Ratios (LogitNormal);0.4948
Height (LogNormal), Ratios (LogitNormal);0.7807999999999999
Height (LogNormal), Ratios (LogitNormal);0.5764
Height (LogNormal), Ratios (LogitNormal);0.3687
Height (LogNormal), Ratios (LogitNormal);0.22850000000000004
Height (LogNormal), Ratios (LogitNormal);0.14370000000000005
Height (LogNormal), Ratios (LogitNormal);0.3893
Height (LogNormal), Ratios (LogitNormal);0.19930000000000003
Height (LogNormal), Ratios (LogitNormal);0.6391
Height (LogNormal), Ratios (LogitNormal);0.9871
Height (LogNormal), Ratios (LogitNormal);0.12749999999999995
Height (LogNormal), Ratios (LogitNormal);0.5615
Height (LogNormal), Ratios (LogitNormal);0.19679999999999997
Height (LogNormal), Ratios (LogitNormal);0.30989999999999995
Height (LogNormal), Ratios (LogitNormal);0.9204
Height (LogNormal), Ratios (LogitNormal);0.3015
Height (LogNormal), Ratios (LogitNormal);0.3677
Height (LogNormal), Ratios (LogitNormal);0.8461
Height (LogNormal), Ratios (LogitNormal);0.37739999999999996
Height (LogNormal), Ratios (LogitNormal);0.8806
Height (LogNormal), Ratios (LogitNormal);0.6256999999999999
Height (LogNormal), Ratios (LogitNormal);0.7181
Height (LogNormal), Ratios (LogitNormal);0.1372
Height (LogNormal), Ratios (LogitNormal);0.7389
Height (LogNormal), Ratios (LogitNormal);0.38049999999999995
Height (LogNormal), Ratios (LogitNormal);0.4901
Height (LogNormal), Ratios (LogitNormal);0.866
Height (LogNormal), Ratios (LogitNormal);0.27349999999999997
Height (LogNormal), Ratios (LogitNormal);0.8943
Height (LogNormal), Ratios (LogitNormal);0.14170000000000005
