distribution;sample_credible_set
Height (LogNormal), Ratios (LogitNormal);0.0635
Height (LogNormal), Ratios (LogitNormal);0.7514000000000001
Height (LogNormal), Ratios (LogitNormal);0.23260000000000003
Height (LogNormal), Ratios (LogitNormal);0.2541
Height (LogNormal), Ratios (LogitNormal);0.17079999999999995
Height (LogNormal), Ratios (LogitNormal);0.39949999999999997
Height (LogNormal), Ratios (LogitNormal);0.8917
Height (LogNormal), Ratios (LogitNormal);0.8227
Height (LogNormal), Ratios (LogitNormal);0.998
Height (LogNormal), Ratios (LogitNormal);0.8642
Height (LogNormal), Ratios (LogitNormal);0.4154
Height (LogNormal), Ratios (LogitNormal);0.4827
Height (LogNormal), Ratios (LogitNormal);0.5755
Height (LogNormal), Ratios (LogitNormal);0.9783
Height (LogNormal), Ratios (LogitNormal);0.8475
Height (LogNormal), Ratios (LogitNormal);0.2923
Height (LogNormal), Ratios (LogitNormal);0.2117
Height (LogNormal), Ratios (LogitNormal);0.5878
Height (LogNormal), Ratios (LogitNormal);0.9955
Height (LogNormal), Ratios (LogitNormal);0.4062
Height (LogNormal), Ratios (LogitNormal);0.9057
Height (LogNormal), Ratios (LogitNormal);0.5988
Height (LogNormal), Ratios (LogitNormal);0.5691999999999999
Height (LogNormal), Ratios (LogitNormal);0.4295
Height (LogNormal), Ratios (LogitNormal);0.9097999999999999
Height (LogNormal), Ratios (LogitNormal);0.5538000000000001
Height (LogNormal), Ratios (LogitNormal);0.967
Height (LogNormal), Ratios (LogitNormal);0.25
Height (LogNormal), Ratios (LogitNormal);0.6577999999999999
Height (LogNormal), Ratios (LogitNormal);0.4807
Height (LogNormal), Ratios (LogitNormal);0.7154
Height (LogNormal), Ratios (LogitNormal);0.024399999999999977
Height (LogNormal), Ratios (LogitNormal);0.935
Height (LogNormal), Ratios (LogitNormal);0.5649
Height (LogNormal), Ratios (LogitNormal);0.8569
Height (LogNormal), Ratios (LogitNormal);0.5342
Height (LogNormal), Ratios (LogitNormal);0.993
Height (LogNormal), Ratios (LogitNormal);0.9779
Height (LogNormal), Ratios (LogitNormal);0.20340000000000003
Height (LogNormal), Ratios (LogitNormal);0.7325999999999999
Height (LogNormal), Ratios (LogitNormal);0.05259999999999998
Height (LogNormal), Ratios (LogitNormal);0.23260000000000003
Height (LogNormal), Ratios (LogitNormal);0.4305
Height (LogNormal), Ratios (LogitNormal);0.9455
Height (LogNormal), Ratios (LogitNormal);0.5119
Height (LogNormal), Ratios (LogitNormal);0.7182999999999999
Height (LogNormal), Ratios (LogitNormal);0.1704
Height (LogNormal), Ratios (LogitNormal);0.031000000000000028
Height (LogNormal), Ratios (LogitNormal);0.28380000000000005
Height (LogNormal), Ratios (LogitNormal);0.5786
Height (LogNormal), Ratios (LogitNormal);0.17700000000000005
Height (LogNormal), Ratios (LogitNormal);0.7259
Height (LogNormal), Ratios (LogitNormal);0.7553
Height (LogNormal), Ratios (LogitNormal);0.1592
Height (LogNormal), Ratios (LogitNormal);0.8064
Height (LogNormal), Ratios (LogitNormal);0.9862
Height (LogNormal), Ratios (LogitNormal);0.5147999999999999
Height (LogNormal), Ratios (LogitNormal);0.8092
Height (LogNormal), Ratios (LogitNormal);0.30069999999999997
Height (LogNormal), Ratios (LogitNormal);0.9994
Height (LogNormal), Ratios (LogitNormal);0.33799999999999997
Height (LogNormal), Ratios (LogitNormal);0.7953
Height (LogNormal), Ratios (LogitNormal);0.0928
Height (LogNormal), Ratios (LogitNormal);0.8917
Height (LogNormal), Ratios (LogitNormal);0.876
Height (LogNormal), Ratios (LogitNormal);0.5396000000000001
Height (LogNormal), Ratios (LogitNormal);0.2885
Height (LogNormal), Ratios (LogitNormal);0.3851
